data,date,hits,geo,time,keyword,gprop,category,gender,candidate_id,prior_vperc,prior_vperc_fct
2,2019-06-20T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-21T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-22T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-23T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-24T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-25T00:00:00Z,4,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-26T00:00:00Z,6,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-27T00:00:00Z,27,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-28T00:00:00Z,4,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-29T00:00:00Z,12,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-30T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-07-01T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-04T00:00:00Z,16,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-05T00:00:00Z,15,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-06T00:00:00Z,17,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-07T00:00:00Z,7,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-08T00:00:00Z,10,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-09T00:00:00Z,12,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-10T00:00:00Z,14,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-11T00:00:00Z,15,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-12T00:00:00Z,14,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
